class,a1,a2,a3,a4,dataid
1,1,1,1,2,d1
1,1,1,1,4,d3
1,1,1,1,5,d4
1,1,1,2,1,d5
1,1,1,2,3,d7
1,1,1,2,5,d9
1,1,1,3,1,d10
1,1,1,3,2,d11
1,1,1,3,3,d12
1,1,1,3,4,d13
1,1,1,3,5,d14
1,1,1,4,2,d16
1,1,1,4,3,d17
1,1,1,4,4,d18
1,1,1,5,1,d20
1,1,1,5,2,d21
1,1,1,5,3,d22
1,1,1,5,4,d23
1,1,1,5,5,d24
0,1,2,1,1,d25
1,1,2,1,5,d28
1,1,2,2,2,d29
1,1,2,2,3,d30
1,1,2,2,4,d31
1,1,2,2,5,d32
1,1,2,3,2,d34
1,1,2,3,3,d35
1,1,2,4,1,d38
1,1,2,4,3,d40
1,1,2,4,4,d41
1,1,2,4,5,d42
1,1,2,5,1,d43
1,1,2,5,2,d44
1,1,2,5,3,d45
0,1,3,1,2,d49
1,1,3,1,4,d50
1,1,3,2,2,d53
1,1,3,2,3,d54
1,1,3,2,4,d55
1,1,3,2,5,d56
1,1,3,3,2,d57
1,1,3,3,3,d58
1,1,3,3,4,d59
1,1,3,3,5,d60
1,1,3,4,2,d62
1,1,3,4,3,d63
1,1,3,4,4,d64
1,1,3,5,2,d67
1,1,3,5,4,d69
1,1,3,5,5,d70
0,1,4,1,2,d72
0,1,4,1,3,d73
1,1,4,1,5,d74
0,1,4,2,1,d75
1,1,4,2,3,d76
0,1,4,3,1,d79
1,1,4,3,2,d80
1,1,4,3,4,d82
1,1,4,3,5,d83
1,1,4,4,2,d84
1,1,4,4,3,d85
1,1,4,4,5,d87
1,1,4,5,1,d88
1,1,4,5,2,d89
1,1,4,5,3,d90
1,1,4,5,4,d91
0,1,5,1,2,d94
0,1,5,1,3,d95
0,1,5,1,4,d96
0,1,5,2,1,d97
0,1,5,2,2,d98
1,1,5,2,3,d99
1,1,5,2,4,d100
1,1,5,2,5,d101
0,1,5,3,1,d102
1,1,5,3,3,d104
1,1,5,3,4,d105
0,1,5,4,1,d107
1,1,5,4,2,d108
1,1,5,4,3,d109
1,1,5,4,4,d110
1,1,5,5,2,d112
1,1,5,5,3,d113
1,1,5,5,4,d114
1,1,5,5,5,d115
1,2,1,1,4,d118
1,2,1,2,2,d120
1,2,1,2,3,d121
1,2,1,2,4,d122
1,2,1,3,1,d124
1,2,1,3,2,d125
1,2,1,3,3,d126
1,2,1,3,4,d127
1,2,1,3,5,d128
1,2,1,4,1,d129
1,2,1,4,2,d130
1,2,1,4,3,d131
1,2,1,4,5,d133
1,2,1,5,1,d134
1,2,1,5,2,d135
1,2,1,5,3,d136
1,2,1,5,4,d137
0,2,2,1,3,d141
1,2,2,1,5,d142
0,2,2,2,1,d143
1,2,2,2,3,d144
1,2,2,2,4,d145
1,2,2,2,5,d146
0,2,2,3,1,d147
1,2,2,3,2,d148
1,2,2,3,3,d149
1,2,2,4,2,d152
1,2,2,4,3,d153
1,2,2,4,4,d154
1,2,2,4,5,d155
1,2,2,5,1,d156
1,2,2,5,2,d157
1,2,2,5,3,d158
1,2,2,5,5,d160
0,2,3,1,1,d161
0,2,3,1,2,d162
0,2,3,1,3,d163
0,2,3,1,4,d164
0,2,3,1,5,d165
0,2,3,2,2,d167
1,2,3,2,5,d169
1,2,3,3,4,d172
1,2,3,3,5,d173
0,2,3,4,1,d174
1,2,3,4,2,d175
1,2,3,4,3,d176
1,2,3,4,4,d177
1,2,3,4,5,d178
0,2,3,5,1,d179
1,2,3,5,2,d180
1,2,3,5,4,d182
0,2,4,1,1,d184
0,2,4,1,5,d188
0,2,4,2,1,d189
