@relation balance-scale-data-Train-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute class {0,1}
@attribute a1 {1,2,3,4,5}
@attribute a2 {1,2,3,4,5}
@attribute a3 {1,2,3,4,5}
@attribute a4 {1,2,3,4,5}
@attribute dataid {d1,d3,d4,d5,d7,d9,d10,d11,d12,d13,d14,d16,d17,d18,d20,d21,d22,d23,d24,d25,d28,d29,d30,d31,d32,d34,d35,d38,d40,d41,d42,d43,d44,d45,d49,d50,d53,d54,d55,d56,d57,d58,d59,d60,d62,d63,d64,d67,d69,d70,d72,d73,d74,d75,d76,d79,d80,d82,d83,d84,d85,d87,d88,d89,d90,d91,d94,d95,d96,d97,d98,d99,d100,d101,d102,d104,d105,d107,d108,d109,d110,d112,d113,d114,d115,d118,d120,d121,d122,d124,d125,d126,d127,d128,d129,d130,d131,d133,d134,d135,d136,d137,d141,d142,d143,d144,d145,d146,d147,d148,d149,d152,d153,d154,d155,d156,d157,d158,d160,d161,d162,d163,d164,d165,d167,d169,d172,d173,d174,d175,d176,d177,d178,d179,d180,d182,d184,d188,d189,d190,d191,d193,d194,d195,d197,d199,d200,d202,d203,d206,d207,d208,d209,d210,d211,d212,d213,d214,d215,d217,d219,d220,d221,d222,d223,d225,d226,d229,d230,d232,d236,d238,d241,d242,d244,d247,d249,d250,d251,d252,d253,d254,d255,d256,d258,d259,d260,d261,d262,d264,d266,d267,d268,d269,d270,d272,d273,d274,d275,d278,d284,d285,d286,d287,d288,d289,d290,d291,d292,d293,d294,d296,d297,d298,d301,d303,d304,d306,d307,d309,d310,d311,d312,d313,d314,d315,d316,d317,d318,d319,d320,d321,d322,d323,d325,d326,d327,d328,d329,d330,d331,d332,d333,d334,d335,d336,d337,d338,d339,d340,d341,d342,d343,d344,d345,d346,d348,d349,d350,d351,d352,d353,d354,d357,d358,d359,d362,d363,d364,d367,d368,d369,d370,d371,d372,d375,d376,d377,d379,d380,d381,d382,d383,d384,d385,d386,d389,d390,d391,d392,d394,d395,d396,d398,d399,d401,d402,d403,d404,d405,d406,d408,d409,d411,d412,d413,d414,d415,d416,d418,d419,d420,d421,d422,d424,d426,d427,d428,d429,d430,d432,d433,d434,d435,d436,d437,d440,d441,d442,d444,d446,d449,d450,d451,d452,d453,d454,d455,d456,d457,d458,d459,d460,d461,d462,d463,d464,d465,d467,d468,d469,d470,d471,d472,d473,d474,d475,d476,d477,d478,d479,d480,d481,d482,d483,d485,d486,d487,d489,d490,d491,d492,d493,d496,d498,d499,d500,d501,d502,d503,d504,d507,d508,d509,d510,d511,d512,d513,d514,d515,d517,d518,d520,d521,d522,d523,d524,d528,d529,d530,d531,d532,d534,d535,d537,d538,d540,d542,d544,d545,d546,d548,d549,d553,d554,d555,d556,d557,d558,d559,d561,d563,d564,d565,d566,d568,d570,d571,d572,d573,d574,d576}

@data
1,1,1,1,2,d1
1,1,1,1,4,d3
1,1,1,1,5,d4
1,1,1,2,1,d5
1,1,1,2,3,d7
1,1,1,2,5,d9
1,1,1,3,1,d10
1,1,1,3,2,d11
1,1,1,3,3,d12
1,1,1,3,4,d13
1,1,1,3,5,d14
1,1,1,4,2,d16
1,1,1,4,3,d17
1,1,1,4,4,d18
1,1,1,5,1,d20
1,1,1,5,2,d21
1,1,1,5,3,d22
1,1,1,5,4,d23
1,1,1,5,5,d24
0,1,2,1,1,d25
1,1,2,1,5,d28
1,1,2,2,2,d29
1,1,2,2,3,d30
1,1,2,2,4,d31
1,1,2,2,5,d32
1,1,2,3,2,d34
1,1,2,3,3,d35
1,1,2,4,1,d38
1,1,2,4,3,d40
1,1,2,4,4,d41
1,1,2,4,5,d42
1,1,2,5,1,d43
1,1,2,5,2,d44
1,1,2,5,3,d45
0,1,3,1,2,d49
1,1,3,1,4,d50
1,1,3,2,2,d53
1,1,3,2,3,d54
1,1,3,2,4,d55
1,1,3,2,5,d56
1,1,3,3,2,d57
1,1,3,3,3,d58
1,1,3,3,4,d59
1,1,3,3,5,d60
1,1,3,4,2,d62
1,1,3,4,3,d63
1,1,3,4,4,d64
1,1,3,5,2,d67
1,1,3,5,4,d69
1,1,3,5,5,d70
0,1,4,1,2,d72
0,1,4,1,3,d73
1,1,4,1,5,d74
0,1,4,2,1,d75
1,1,4,2,3,d76
0,1,4,3,1,d79
1,1,4,3,2,d80
1,1,4,3,4,d82
1,1,4,3,5,d83
1,1,4,4,2,d84
1,1,4,4,3,d85
1,1,4,4,5,d87
1,1,4,5,1,d88
1,1,4,5,2,d89
1,1,4,5,3,d90
1,1,4,5,4,d91
0,1,5,1,2,d94
0,1,5,1,3,d95
0,1,5,1,4,d96
0,1,5,2,1,d97
0,1,5,2,2,d98
1,1,5,2,3,d99
1,1,5,2,4,d100
1,1,5,2,5,d101
0,1,5,3,1,d102
1,1,5,3,3,d104
1,1,5,3,4,d105
0,1,5,4,1,d107
1,1,5,4,2,d108
1,1,5,4,3,d109
1,1,5,4,4,d110
1,1,5,5,2,d112
1,1,5,5,3,d113
1,1,5,5,4,d114
1,1,5,5,5,d115
1,2,1,1,4,d118
1,2,1,2,2,d120
1,2,1,2,3,d121
1,2,1,2,4,d122
1,2,1,3,1,d124
1,2,1,3,2,d125
1,2,1,3,3,d126
1,2,1,3,4,d127
1,2,1,3,5,d128
1,2,1,4,1,d129
1,2,1,4,2,d130
1,2,1,4,3,d131
1,2,1,4,5,d133
1,2,1,5,1,d134
1,2,1,5,2,d135
1,2,1,5,3,d136
1,2,1,5,4,d137
0,2,2,1,3,d141
1,2,2,1,5,d142
0,2,2,2,1,d143
1,2,2,2,3,d144
1,2,2,2,4,d145
1,2,2,2,5,d146
0,2,2,3,1,d147
1,2,2,3,2,d148
