@relation monks-2.train-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute class {0,1}
@attribute a1 {1,2,3}
@attribute a2 {1,2,3}
@attribute a3 {1,2}
@attribute a4 {1,2,3}
@attribute a5 {1,2,3,4}
@attribute a6 {1,2}
@attribute id {data_4,data_7,data_9,data_10,data_11,data_13,data_15,data_19,data_23,data_25,data_26,data_37,data_39,data_40,data_42,data_44,data_50,data_58,data_60,data_61,data_62,data_63,data_65,data_66,data_68,data_69,data_70,data_71,data_72,data_75,data_79,data_85,data_87,data_89,data_90,data_93,data_94,data_95,data_96,data_98,data_100,data_101,data_102,data_107,data_108,data_110,data_111,data_116,data_117,data_120,data_125,data_126,data_127,data_130,data_134,data_136,data_139,data_145,data_148,data_149,data_156,data_162,data_164,data_166,data_167,data_169,data_172,data_175,data_179,data_184,data_185,data_186,data_188,data_190,data_192,data_197,data_200,data_201,data_205,data_213,data_214,data_215,data_217,data_220,data_222,data_223,data_224,data_225,data_228,data_229,data_233,data_235,data_236,data_240,data_241,data_242,data_246,data_249,data_253,data_254,data_256,data_258,data_259,data_263,data_266,data_267,data_269,data_272,data_273,data_275,data_278,data_285,data_286,data_288,data_295,data_298,data_300,data_302,data_303,data_304,data_305,data_306,data_308,data_310,data_313,data_316,data_317,data_318,data_319,data_320,data_323,data_330,data_331,data_332,data_336,data_338,data_340,data_341,data_342,data_346,data_347,data_353,data_355,data_357,data_358,data_361,data_364,data_365,data_366,data_369,data_371,data_372,data_374,data_377,data_382,data_384,data_385,data_387,data_389,data_390,data_398,data_409,data_417,data_419,data_421,data_422,data_425,data_427,data_432}

@data
0,1,1,1,1,2,2,data_4
0,1,1,1,1,4,1,data_7
0,1,1,1,2,1,1,data_9
0,1,1,1,2,1,2,data_10
0,1,1,1,2,2,1,data_11
0,1,1,1,2,3,1,data_13
0,1,1,1,2,4,1,data_15
0,1,1,1,3,2,1,data_19
0,1,1,1,3,4,1,data_23
0,1,1,2,1,1,1,data_25
0,1,1,2,1,1,2,data_26
0,1,1,2,2,3,1,data_37
0,1,1,2,2,4,1,data_39
1,1,1,2,2,4,2,data_40
0,1,1,2,3,1,2,data_42
1,1,1,2,3,2,2,data_44
0,1,2,1,1,1,2,data_50
0,1,2,1,2,1,2,data_58
1,1,2,1,2,2,2,data_60
0,1,2,1,2,3,1,data_61
1,1,2,1,2,3,2,data_62
0,1,2,1,2,4,1,data_63
0,1,2,1,3,1,1,data_65
0,1,2,1,3,1,2,data_66
1,1,2,1,3,2,2,data_68
0,1,2,1,3,3,1,data_69
1,1,2,1,3,3,2,data_70
0,1,2,1,3,4,1,data_71
1,1,2,1,3,4,2,data_72
0,1,2,2,1,2,1,data_75
0,1,2,2,1,4,1,data_79
1,1,2,2,2,3,1,data_85
1,1,2,2,2,4,1,data_87
0,1,2,2,3,1,1,data_89
1,1,2,2,3,1,2,data_90
1,1,2,2,3,3,1,data_93
0,1,2,2,3,3,2,data_94
1,1,2,2,3,4,1,data_95
0,1,2,2,3,4,2,data_96
0,1,3,1,1,1,2,data_98
0,1,3,1,1,2,2,data_100
0,1,3,1,1,3,1,data_101
0,1,3,1,1,3,2,data_102
0,1,3,1,2,2,1,data_107
1,1,3,1,2,2,2,data_108
