@relation random1000

@attribute meanfreq numeric
@attribute sd numeric
@attribute 'sd d' {high,medium,low}
@attribute median numeric
@attribute Q25 numeric
@attribute Q75 numeric
@attribute IQR numeric
@attribute 'IQR d' {medium,low,high}
@attribute skew numeric
@attribute kurt numeric
@attribute sp.ent numeric
@attribute sfm numeric
@attribute mode numeric
@attribute centroid numeric
@attribute meanfun numeric
@attribute minfun numeric
@attribute maxfun numeric
@attribute meandom numeric
@attribute mindom numeric
@attribute maxdom numeric
@attribute dfrange numeric
@attribute 'dfrange d' {low,medium,high}
@attribute modindx numeric
@attribute label {male,female}

@data
0.174152,0.075432,high,0.156328,0.128307,0.251347,0.12304,medium,2.400994,9.87884,0.93943,0.62389,0.137366,0.174152,0.12909,0.045198,0.213333,0.289063,0.046875,0.710938,0.664063,low,0.276471,male
0.173095,0.078938,high,0.154168,0.124711,0.253585,0.128874,medium,2.761376,13.61692,0.933829,0.562798,0.26223,0.173095,0.132628,0.053333,0.225352,0.427812,0.039063,0.914063,0.875,low,0.282609,male
0.180052,0.074081,high,0.159081,0.131639,0.258703,0.127065,medium,2.642746,11.080932,0.92059,0.524415,0.260847,0.180052,0.131713,0.017857,0.207792,0.31871,0.117188,0.632813,0.515625,low,0.414274,male
0.187741,0.063141,medium,0.176692,0.137808,0.253315,0.115507,medium,1.969142,8.000181,0.922336,0.463954,0.255793,0.187741,0.132164,0.018328,0.242424,0.372897,0.046875,0.84375,0.796875,low,0.224673,male
0.195127,0.070298,high,0.194924,0.149383,0.256479,0.107096,medium,1.952501,6.867107,0.924806,0.543858,0.252976,0.195127,0.132863,0.019417,0.275862,0.479167,0.007813,5.8125,5.804688,low,0.094068,male
0.187103,0.069163,medium,0.19428,0.146229,0.245593,0.099364,medium,1.698913,6.976841,0.942872,0.617207,0.279703,0.187103,0.131938,0.016327,0.222222,0.270733,0.007813,0.484375,0.476563,low,0.239344,male
0.183002,0.062596,medium,0.197839,0.165212,0.214153,0.048941,low,2.632291,10.323426,0.916782,0.551163,0.198432,0.183002,0.171644,0.025806,0.253968,0.472656,0.007813,1.234375,1.226563,low,0.195414,male
0.204096,0.067199,medium,0.22532,0.167811,0.262559,0.094747,medium,1.798546,5.916815,0.906929,0.446186,0.265387,0.204096,0.130455,0.020833,0.25,0.253906,0.007813,0.570313,0.5625,low,0.211538,male
0.187881,0.07289,high,0.220542,0.123133,0.241627,0.118494,medium,2.903705,13.479935,0.910193,0.516567,0.242048,0.187881,0.122244,0.015656,0.235294,0.322396,0.007813,0.609375,0.601563,low,0.269944,male
0.167901,0.059537,medium,0.155301,0.120123,0.222799,0.102676,medium,3.487824,19.183031,0.89124,0.336755,0.121839,0.167901,0.094817,0.021164,0.149533,0.258789,0.007813,0.679688,0.671875,low,0.387597,male
0.172243,0.054806,medium,0.188347,0.127246,0.203178,0.075932,medium,4.805773,30.75096,0.875927,0.342792,0.189534,0.172243,0.094401,0.022284,0.210526,0.241365,0.007813,0.828125,0.820313,low,0.269643,male
0.165102,0.061435,medium,0.143542,0.119824,0.220858,0.101034,medium,4.407365,29.530404,0.886586,0.359122,0.119824,0.165102,0.085567,0.016244,0.242424,0.06875,0.007813,0.296875,0.289063,low,0.166667,male
0.1693,0.060587,medium,0.17624,0.119019,0.222779,0.10376,medium,3.003082,14.563481,0.873494,0.279632,0.118256,0.1693,0.102432,0.020997,0.275862,0.206414,0.007813,1.195313,1.1875,low,0.166409,male
0.161799,0.070732,high,0.175096,0.106446,0.223884,0.117438,medium,1.523348,5.952213,0.961455,0.701337,0.228705,0.161799,0.098397,0.020279,0.202532,0.404903,0.007813,3.226563,3.21875,low,0.16361,male
